Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
University of North Texas,3,4,Public,Southwest,Mid-size City,0.5969,24,1100,31243,0.5114,0.1423,0.206,0.0535,0.0052,0.0012,0.0313,0.0392,0.2278,18593,7571,9746,1,0.3645,0.4993,0.7503,0.2361,10,14955,20750,9835.5,0.939999998,0.529999971,22.26000023,64825.21,49512,7.210000038,695,6921,41200,39400
University of Northern Colorado,3,4,Public,Rocky Mountains,Small City,0.6957,22,1029,9525,0.5818,0.0382,0.1636,0.0152,0.0036,0.0024,0.0318,0.0117,0.0925,19105,7571,7487,0.6597,0.3514,0.4638,0.663,0.1304,5.9,14250,22461,8250,0.930000007,0.409999996,21.25,77019.2,69484,5.5,317,2900,38800,36200
University of Northern Iowa,3,4,Public,Great Plains,Small City,0.8331,22,1030,10170,0.8705,0.0268,0.0276,0.0081,0.0018,0.0005,0.0165,0.0326,0.0857,19233,9117,8062,0.7542,0.2704,0.6649,0.83,0.0923,4.8,18500,22148,12000,0.980000019,0.439999998,20.81999969,74741.68,70699,5.809999943,230,4062,42100,38700
University of Northwestern-St Paul,3,4,Private,Great Plains,Large Suburb,0.6915,25,1126,2038,0.8464,0.0432,0.0098,0.0442,0.0049,0,0.0245,0.0064,0.1374,37803,7118,6078,1,0.2787,0.6844,0.7894,0.0832,3.9,18636.5,22430,12500,0.949999988,0.50999999,23.36000061,73387.27,65093,4.699999809,103,912,35700,32100
University of Notre Dame,3,4,Private,Great Lakes,Large Suburb,0.223,33,1450,8466,0.7126,0.0357,0.1024,0.0601,0.0039,0.0001,0.039,0.0408,0.002,57805,26795,12629,0.8839,0.1178,0.9486,0.9861,0.0006,0.8,20300,21000,14257,0.99000001,0.219999999,20.09000015,123618.48,106005,5.760000229,78,1616,76300,63200
University of Oklahoma-Norman Campus,3,4,Public,Southwest,Mid-size Suburb,0.8044,26,1176,20528,0.6248,0.049,0.0885,0.056,0.0419,0.0018,0.0646,0.0388,0.1524,23263,11985,9273,0.8207,0.2491,0.6629,0.8395,0.1293,4.9,15750,20000,12000,0.899999976,0.529999971,22.03000069,66684.98,49891,8.5,539,4989,51800,43300
University of Oregon,3,4,Public,Far West,Mid-size City,0.7417,25,1108,20473,0.6425,0.0199,0.0813,0.0513,0.0052,0.0048,0.0584,0.1242,0.0782,22390,11641,8828,0.7024,0.2585,0.6653,0.8672,0.0847,5.8,18309,21535,10333,0.949999988,0.50999999,21.72999954,71151.8,54318,7.28000021,517,4089,42200,38000
University of Pennsylvania,3,4,Private,Mid-Atlantic,Large City,0.1224,32,1442,10606,0.4629,0.0731,0.0998,0.1815,0.0014,0.0006,0.0359,0.1052,0.0437,59600,52081,15460,0.7278,0.1417,0.9569,0.9778,0.0567,1.3,19500,21500,12500,0.980000019,0.180000007,22.21999931,87200.75,62169,7.010000229,250,2466,106600,73200
University of Pikeville,3,4,Private,Southeast,Remote Town,1,19,909,1313,0.821,0.1325,0.0145,0.0046,0.0023,0,0,0.0251,0.0236,31005,6567,5588,0.7113,0.4762,0.309,0.5217,0.0708,12.5,9500,19500,5750,0.829999983,0.829999983,21.54999924,35649.53,24191,20.31999969,71,269,33200,28000
University of Pittsburgh-Bradford,3,3,Public,Mid-Atlantic,Remote Town,0.8532,21,973,1456,0.7356,0.103,0.0364,0.0192,0.0021,0.0007,0.0179,0.033,0.0687,23732,8308,7007,0.7778,0.4526,0.5189,0.7,0.1256,4.2,22000,26896.5,10596,0.980000019,0.379999995,20.93000031,79347.41,71893,6.889999866,410,5951,51000,45600
University of Pittsburgh-Greensburg,3,3,Public,Mid-Atlantic,Large Suburb,0.9311,22,1017,1677,0.8044,0.0513,0.0423,0.0322,0.0012,0.0006,0.0191,0.0143,0.0674,23343,5416,6552,0.8,0.52,0.5329,0.8299,0.0877,4.2,22000,26896.5,10596,0.980000019,0.379999995,20.93000031,79347.41,71893,6.889999866,410,5951,51000,45600
University of Pittsburgh-Johnstown,3,3,Public,Mid-Atlantic,Small Suburb,0.9038,22,1021,2837,0.8921,0.0342,0.0134,0.012,0.0004,0.0011,0.013,0.024,0.0303,23709,5859,6624,0.9116,0.3056,0.5501,0.7461,0.0588,4.2,22000,26896.5,10596,0.980000019,0.379999995,20.93000031,79347.41,71893,6.889999866,410,5951,51000,45600
University of Pittsburgh-Pittsburgh Campus,3,4,Public,Mid-Atlantic,Large City,0.5613,28,1258,18304,0.7683,0.0546,0.0259,0.0752,0.0004,0.0005,0.0287,0.0333,0.0475,30410,16506,9533,0.7478,0.1706,0.8044,0.9087,0.0665,4.2,22000,26896.5,10596,0.980000019,0.379999995,20.93000031,79347.41,71893,6.889999866,410,5951,51000,45600
University of Portland,3,4,Private,Far West,Large City,0.668,0,1195,3468,0.6401,0.0087,0.0998,0.1024,0.0032,0.0141,0.079,0.0288,0.0167,51036,10427,7678,0.5985,0.2189,0.755,0.9002,0.0321,1.1,22454,25000,10000,0.970000029,0.319999993,20.42000008,98696.67,86897,6.579999924,55,821,52400,48800
University of Puerto Rico-Aguadilla,3,3,Public,Outlying Areas,Large Suburb,0.9234,0,1038,2886,0.0073,0.001,0.9106,0.0003,0.0003,0,0.0017,0,0.0655,8055,5668,5170,0.7697,0.811,0.321,0.831,0.0696,11.8,5000,5500,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Arecibo,3,3,Public,Outlying Areas,Small City,0.5302,0,0,3654,0,0,1,0,0,0,0,0,0.0613,11056,6585,6133,0.9158,0.8188,0.4004,0.7941,0.0575,11.9,4500,4600,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Bayamon,3,3,Public,Outlying Areas,Large Suburb,0.2547,0,0,4847,0,0,1,0,0,0,0,0,0.1192,8509,4930,5738,0.7742,0.6527,0.3924,0.856,0.0802,11.9,4500,5500,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Carolina,3,3,Public,Outlying Areas,Mid-size City,0.8065,0,1029,3880,0.0077,0.0026,0.9126,0,0.0015,0,0.016,0,0.1951,11945,6675,5828,0.5385,0.6995,0.3327,0.8367,0.0746,11.8,4500,4957.5,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Cayey,3,3,Public,Outlying Areas,Large Suburb,0.8342,0,1094,3779,0,0,1,0,0,0,0,0,0.072,11428,5905,7195,0.8431,0.7355,0.4638,0.9675,0.0419,11.8,4500,5000,4000,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Humacao,3,3,Public,Outlying Areas,Large Suburb,0.4487,0,0,3383,0.0059,0.0095,0.8835,0.0003,0,0.0003,0.0033,0.0006,0.0913,11686,9908,5812,0.8464,0.7527,0.4343,0.868,0.0658,11.8,4500,5000,3800,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Mayaguez,3,4,Public,Outlying Areas,Small City,0.725,0,0,10697,0,0,1,0,0,0,0,0,0.0526,14726,8372,6533,0.9807,0.6081,0.4284,0.8932,0.0546,11.6,5500,5500,5500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Ponce,3,3,Public,Outlying Areas,Mid-size City,0.6398,0,0,3120,0,0,1,0,0,0,0,0,0.0766,13018,5276,5174,0.7072,0.8067,0.4072,0.8673,0.0756,11.9,5250,5500,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Rio Piedras,3,4,Public,Outlying Areas,Large City,0.5248,0,1195,11834,0.007,0.0014,0.9027,0.0014,0.001,0.0001,0.0025,0.0001,0.1032,8020,12517,7104,0.7862,0.5895,0.4748,0.8968,0.0746,11.9,5500,5500,5197,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puget Sound,3,4,Private,Far West,Mid-size City,0.8522,28,1233,2542,0.7506,0.0083,0.0724,0.0688,0.0016,0.0004,0.0893,0.0028,0.0079,53785,17749,9228,0.8448,0.2071,0.7816,0.8669,0.022,2.4,20789,23500,10288,0.980000019,0.289999992,20.19000053,100805.53,84173.5,6.150000095,55,617,46700,41400
University of Redlands,3,4,Private,Far West,Small City,0.672,25,1135,3462,0.5061,0.0459,0.2605,0.0511,0.0055,0.0061,0.0373,0.0069,0.2218,55268,9159,9234,0.9644,0.2497,0.7295,0.884,0.2174,3,24000,27000,18381,0.970000029,0.379999995,23.63999939,83774.07,69769,9.18999958,120,1164,50000,47100
University of Rhode Island,3,4,Public,New England,Large Suburb,0.7871,24,1076,13008,0.693,0.0496,0.0863,0.0301,0.0025,0.0003,0.0231,0.0071,0.0984,26262,7446,9144,0.5907,0.2674,0.6344,0.8128,0.0865,7.3,19500,23250,9500,0.949999988,0.400000006,20.65999985,88579.08,78122.5,6.909999847,240,3291,49200,44600
University of Richmond,3,4,Private,Southeast,Mid-size City,0.3116,30,1313,3107,0.5845,0.0766,0.0705,0.0557,0.0026,0.0003,0.0348,0.0882,0.057,55980,18204,10983,0.6464,0.2005,0.8502,0.9373,0.0703,1.7,18370,19500,10250,0.970000029,0.230000004,22.28000069,109334.2,90735.5,4.789999962,44,639,61800,51500
University of Rochester,3,4,Private,Mid-Atlantic,Mid-size City,0.3568,31,1353,6047,0.5361,0.0475,0.0567,0.1052,0.0026,0.0008,0.0278,0.1507,0.0377,59156,29937,12762,0.9527,0.1844,0.8518,0.9605,0.0614,2.5,24325.5,26000,13500,0.99000001,0.300000012,20.23999977,97862.81,85192,6.260000229,79,996,59500,50200
University of Saint Francis-Fort Wayne,3,4,Private,Great Lakes,Large City,0.5362,21,981,1878,0.8211,0.065,0.0634,0.008,0.0048,0.0016,0.0181,0.0043,0.1395,31516,7513,5666,0.6219,0.4216,0.5356,0.6991,0.2111,4.4,20000,26000,9500,0.959999979,0.519999981,23.61000061,69162.62,63504,5.03000021,68,744,38200,36600
University of San Diego,3,4,Private,Far West,Large City,0.4885,28,1228,5573,0.5539,0.0278,0.1888,0.0592,0.0047,0.0031,0.0574,0.0599,0.0257,56346,13166,11648,0.4518,0.1807,0.7502,0.9021,0.0478,2.8,19500,22500,10215.5,0.970000029,0.289999992,20.85000038,97719.44,69873.5,6.599999905,134,1290,61800,53400
University of San Francisco,3,4,Private,Far West,Large City,0.6129,25,1161,6308,0.311,0.0293,0.1872,0.194,0.0019,0.0049,0.0699,0.1815,0.0371,55812,15041,12409,0.4135,0.2625,0.6901,0.8646,0.0832,5.3,23000,25000,20300,0.959999979,0.439999998,22.20999908,90594.28,70581,6.559999943,157,1397,62000,53300
University of Scranton,3,4,Private,Mid-Atlantic,Small City,0.7503,25,1121,3834,0.8127,0.0159,0.0741,0.0282,0.001,0.0003,0.0201,0.0034,0.0276,51962,10141,9400,0.7286,0.2014,0.8176,0.9032,0.0337,4,26442,27000,12000,0.980000019,0.340000004,20.06999969,106711.89,93993,5.519999981,62,1215,53800,50800
University of Sioux Falls,3,4,Private,Great Plains,Mid-size City,0.969,23,1064,1075,0.8809,0.04,0.027,0.0047,0.0037,0.0019,0.0307,0.0056,0.1386,33909,6852,6075,1,0.2839,0.4747,0.6579,0.1955,4.3,16749,25000,8000,0.980000019,0.439999998,21.87000084,71708.18,62665.5,6.070000172,22,613,38600,34800
University of South Alabama,3,4,Public,Southeast,Mid-size City,0.8604,23,1064,11048,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,0.0226,0.0284,0.2076,17125,10325,7212,0.6418,0.3743,0.3342,0.6787,0.2343,7.1,15000,25000,9500,0.899999976,0.639999986,23.69000053,45401.94,30958,12.5,413,2802,39900,34400
University of South Carolina-Aiken,3,4,Public,Southeast,Large Suburb,0.5122,21,973,2956,0.6008,0.2689,0.0379,0.0112,0.003,0.0003,0.0348,0.0189,0.1861,18466,6883,6243,0.6145,0.4158,0.4212,0.6578,0.1575,8.2,13750,26000,9500,0.920000017,0.610000014,21.85000038,54859.12,41442,11.51000023,113,972,35400,32800
University of South Carolina-Beaufort,3,3,Public,Southeast,Fringe Town,0.7304,20,932,1716,0.6224,0.1917,0.0513,0.0082,0.0035,0.0023,0.0321,0.007,0.1981,19354,6114,6410,0.5726,0.3955,0.2689,0.5578,0.2146,8.3,11000,24250,9500,0.870000005,0.639999986,23.63999939,47466.64,34946,9.720000267,44,297,33300,28700
University of South Carolina-Columbia,3,4,Public,Southeast,Mid-size City,0.606,27,1200,23987,0.7709,0.1016,0.0406,0.0228,0.0025,0.0011,0.0321,0.0113,0.0658,23685,10384,9514,0.7128,0.2394,0.7268,0.8738,0.067,4.7,19125,22500,13500,0.949999988,0.439999998,20.89999962,76756.24,63282.5,8.430000305,439,4951,45600,38700
University of South Carolina-Upstate,3,4,Public,Southeast,Mid-size Suburb,0.6422,21,982,4952,0.5687,0.2886,0.0438,0.0184,0.002,0.0002,0.0311,0.0147,0.1585,20848,6703,6139,0.9656,0.4555,0.405,0.661,0.2168,8.9,15750,23250,11181,0.930000007,0.600000024,22.76000023,54133.16,41002.5,9.539999962,169,1533,36100,33600
University of South Dakota,3,4,Public,Great Plains,Distant Town,0.8788,24,1090,6449,0.8719,0.0209,0.0338,0.0121,0.0164,0.0017,0.0256,0.0119,0.2712,18843,8747,7200,0.7684,0.2876,0.5515,0.7649,0.221,6.4,15463,24000,10500,0.980000019,0.469999999,22.98999977,61219.52,53346,7.320000172,178,2467,40900,35900
University of South Florida-Main Campus,3,4,Public,Southeast,Large City,0.4524,26,1168,30376,0.5493,0.1106,0.1961,0.0603,0.0021,0.0029,0.0322,0.0317,0.2283,19299,8322,8082,0.7713,0.4127,0.6321,0.8878,0.2112,7.4,16954,19735,12500,0.870000005,0.629999995,22.48999977,52366.99,36808.5,7.980000019,978,8367,40600,37900
University of South Florida-St Petersburg,3,4,Public,Southeast,Mid-size City,0.4401,23,1070,3955,0.6903,0.0721,0.1464,0.0407,0.0018,0.0035,0.0286,0.0025,0.3295,18821,5212,8331,0.5143,0.3928,0.4273,0.5991,0.3083,7.4,16954,19735,12500,0,0,0,0,0,0,978,8367,40600,37900
University of Southern California,3,4,Private,Far West,Large City,0.1984,31,1380,18087,0.3812,0.0442,0.1355,0.2306,0.0013,0.0012,0.0475,0.1209,0.0281,59787,42077,13045,0.5727,0.2308,0.9117,0.9599,0.0377,1.8,21500,22841.5,17125,0.959999979,0.349999994,21.65999985,74599.85,42938,8.75,462,4462,74400,62300
University of Southern Indiana,3,4,Public,Great Lakes,Mid-size Suburb,0.6934,22,1004,8764,0.8625,0.0448,0.0088,0.0086,0.0022,0.001,0.0201,0.0267,0.1626,17996,5112,6363,0.5682,0.3231,0.3954,0.6879,0.1831,9.6,13500,23275,8250,0.879999995,0.529999971,21.26000023,64285.39,57798,6.75,285,2909,34400,31300
University of Southern Maine,3,4,Public,New England,Small City,0.828,23,1003,6079,0.8118,0.0306,0.0196,0.0225,0.0089,0.0008,0.0197,0.0092,0.3028,22290,9616,8522,0.4725,0.3636,0.3356,0.6695,0.3146,6.8,17000,24250,12000,0.939999998,0.50999999,22.79999924,60012.65,49417,7.03000021,223,2389,38300,35000
University of Southern Mississippi,3,4,Public,Southeast,Small City,0.6631,24,1082,12371,0.6095,0.3178,0.0323,0.0122,0.004,0.001,0.0167,0.0062,0.1246,18781,7858,7109,0.756,0.4644,0.4513,0.7162,0.2216,12,16600,25000,12641,0.920000017,0.699999988,22.63999939,44439.03,29062,14.43999958,487,4215,37700,33200
University of St Francis,3,4,Private,Great Lakes,Large Suburb,0.5141,23,1070,1757,0.7223,0.074,0.1343,0.0262,0.004,0.004,0.0205,0.0125,0.2049,36226,7644,7543,1,0.3653,0.5657,0.7909,0.3157,3.6,21000,25000,12500,0.980000019,0.419999987,24.46999931,78868.51,73669,4.800000191,51,559,47500,44700
University of St Thomas,3,4,Private,Southwest,Large City,0.7724,26,1121,1529,0.3126,0.0608,0.3793,0.119,0.0026,0.0026,0.0196,0.0889,0.1785,37271,11149,6830,0.9949,0.3357,0.5104,0.766,0.2494,6.8,20000,25000,11000,0.920000017,0.620000005,21.63999939,63775.86,42131.5,9.510000229,68,400,49000,43200
University of St Thomas,3,4,Private,Great Plains,Large City,0.8617,26,1165,6246,0.8231,0.0256,0.0402,0.0357,0.0016,0,0.0296,0.0293,0.0312,48421,12539,9892,0.533,0.2023,0.751,0.8755,0.0481,4.2,22250,26500,11150,0.980000019,0.319999993,20.12000084,110915.07,96397,4.050000191,79,1376,52500,48100
University of the Cumberlands,3,4,Private,Southeast,Remote Town,0.7127,22,1019,1545,0.7987,0.0828,0.0233,0.0026,0.0026,0.0006,0.0091,0.0615,0.033,30993,4050,5417,0.5668,0.4437,0.4345,0.5163,0.2061,8.7,9500,21505.5,5700,0.920000017,0.639999986,21.04000092,57753.77,48248,15.39999962,67,552,32500,30100
University of the Incarnate Word,3,4,Private,Southwest,Large City,0.9307,21,967,6346,0.206,0.0703,0.6013,0.0191,0.0036,0.0025,0.011,0.032,0.3448,34487,6728,7616,0.4557,0.4188,0.4,0.6909,0.3682,9.2,19500,27000,12067,0.959999979,0.600000024,25.45000076,56531.31,41999,11.27999973,145,1224,45300,41600
University of the Pacific,3,4,Private,Far West,Large City,0.7265,26,1172,3869,0.3223,0.0269,0.1858,0.3153,0.0067,0.0047,0.0432,0.0538,0.0238,52406,17606,10089,0.5588,0.4011,0.5669,0.8656,0.0598,3.5,21250,23500,18750,0.959999979,0.389999986,22.03000069,62103.51,40951,9.18999958,111,1339,75600,64000
University of the Sciences,3,4,Private,Mid-Atlantic,Large City,0.5635,25,1165,1830,0.4355,0.0596,0.0191,0.3628,0.0011,0.0033,0.0213,0.0142,0.0087,49327,12508,8000,0.648,0.2632,0.7181,0.8799,0.0365,2.4,27000,27000,9625,0.980000019,0.349999994,19.69000053,90253.37,82840.5,6.019999981,47,796,88000,94000
University of the Virgin Islands,3,4,Public,Outlying Areas,Remote Town,0.9782,17,807,2023,0.0504,0.7642,0.0662,0.0035,0,0.0005,0,0.0554,0.3426,16261,9197,7213,1,0.5549,0.2438,0.6767,0.3196,16.4,7307.5,12150,6250,0.49000001,0.879999995,22.18000031,31815.36,25917,10.22999954,86,493,32500,30300
University of Toledo,3,4,Public,Great Lakes,Large City,0.9073,22,1031,15440,0.6947,0.139,0.0447,0.0233,0.0021,0.0008,0.025,0.0443,0.1615,21263,12173,8426,0.7192,0.3792,0.4543,0.6805,0.1591,13.5,14500,24994,9500,0.949999988,0.540000021,21.43000031,65254.02,57163,7.769999981,498,4974,43600,37600
University of Tulsa,3,4,Private,Southwest,Large City,0.4059,29,1279,3394,0.5524,0.0451,0.0418,0.0327,0.0392,0.0012,0.0171,0.2563,0.0359,46560,16047,9672,0.7755,0.1557,0.6882,0.9034,0.0595,7.2,20500,25000,11000,0.939999998,0.460000008,21.12000084,79960.34,64324,7.329999924,65,688,50700,41400
University of Utah,3,4,Public,Rocky Mountains,Mid-size City,0.8174,24,1109,23273,0.7156,0.0122,0.0938,0.0505,0.0054,0.0059,0.0319,0.0664,0.268,19048,12835,7764,0.9448,0.3225,0.6037,0.8791,0.3208,3.9,12839,15400,10821,0.829999983,0.670000017,23.54000092,47548.1,32294,6.059999943,830,5127,51600,44300
University of Vermont,3,4,Public,New England,Small City,0.7755,27,1190,9970,0.834,0.0115,0.0427,0.0221,0.0027,0.0002,0.0294,0.0202,0.035,27788,16066,9562,0.8133,0.1948,0.7582,0.8577,0.0795,3.8,18878,21893.5,9581.5,0.959999979,0.349999994,20.23999977,95378.54,77614,5.409999847,174,2337,44700,39400
University of Virginia-Main Campus,3,4,Public,Southeast,Small City,0.2999,31,1362,15020,0.607,0.063,0.0579,0.1224,0.0013,0.0003,0.0429,0.0565,0.0383,25255,16577,12428,0.9466,0.1205,0.9307,0.97,0.0566,1.7,17746,19500,11921,0.930000007,0.289999992,20.37999916,100872.78,84687,5.639999866,151,1870,66300,53600
University of Washington-Bothell Campus,3,4,Public,Far West,Large Suburb,0.7568,21,1014,4077,0.4623,0.0503,0.0831,0.2443,0.0056,0.0091,0.0527,0.0731,0.1589,22800,5628,9302,0.6263,0.3454,0.6757,0.7861,0.2792,4.3,14793.5,16326,11400,0.870000005,0.540000021,22.63999939,55950.49,38703,6.570000172,678,6080,56400,48300
University of Washington-Seattle Campus,3,4,Public,Far West,Large City,0.5523,28,1234,28754,0.4399,0.0267,0.0692,0.2422,0.0066,0.0048,0.0518,0.1407,0.0605,24606,23645,10461,0.7258,0.2489,0.8183,0.9303,0.0996,4.3,14793.5,16326,11400,0.870000005,0.540000021,22.63999939,55950.49,38703,6.570000172,678,6080,56400,48300
University of Washington-Tacoma Campus,3,4,Public,Far West,Mid-size City,0.8523,20,963,3587,0.4706,0.068,0.0934,0.1603,0.0123,0.0162,0.0652,0.0388,0.1338,22185,5763,8510,0.6957,0.4643,0.4943,0.7771,0.3764,4.3,14793.5,16326,11400,0.870000005,0.540000021,22.63999939,55950.49,38703,6.570000172,678,6080,56400,48300
University of West Alabama,3,4,Public,Southeast,Remote Rural,0.9957,20,950,1988,0.4291,0.4195,0.0216,0.0101,0.0035,0.001,0.0091,0.0473,0.1479,17959,8898,6408,0.5404,0.5604,0.3161,0.5781,0.1786,9.6,13500,22500,10864.5,0.860000014,0.75999999,22.55999947,37752.64,23735,19.46999931,67,621,34400,32200
University of West Georgia,3,4,Public,Southeast,Fringe Town,0.5385,20,950,9777,0.5436,0.3487,0.0428,0.0095,0.0019,0.001,0.0324,0.0102,0.1519,18879,6178,5787,0.8225,0.4763,0.4287,0.7147,0.1392,10.4,14250,23001,9500,0.920000017,0.569999993,22.28000069,62503.86,51454,7.480000019,300,2381,35100,32800
University of Wisconsin-Eau Claire,3,4,Public,Great Lakes,Small City,0.7646,24,1110,10218,0.8984,0.0064,0.0186,0.033,0.004,0.0004,0.0166,0.0202,0.0695,18066,6718,6886,0.9681,0.2654,0.6693,0.8228,0.0796,3.8,17823.5,23250,8750,0.970000029,0.409999996,20.40999985,82400.9,78332,4.449999809,149,2644,42000,39900
University of Wisconsin-Green Bay,3,4,Public,Great Lakes,Mid-size City,0.8476,23,1070,5765,0.8671,0.012,0.0361,0.0272,0.0134,0.0012,0.0225,0.0168,0.2533,16878,5901,6407,0.9939,0.3292,0.464,0.7192,0.2631,4.2,14549,21711,10500,0.949999988,0.439999998,21.65999985,70428.84,67408,4.539999962,100,1569,37900,36100
University of Wisconsin-La Crosse,3,4,Public,Great Lakes,Small City,0.72,25,1130,9335,0.8941,0.0073,0.0271,0.0252,0.003,0.0007,0.0211,0.02,0.0314,17896,6370,6650,0.9823,0.226,0.672,0.8656,0.0531,1.8,18428.5,23203,8855,0.970000029,0.370000005,20.13999939,84818.34,81510.5,4.53000021,111,1934,43700,40400
University of Wisconsin-Madison,3,4,Public,Great Lakes,Mid-size City,0.6792,28,1268,29504,0.7713,0.0215,0.0459,0.0551,0.0022,0.0012,0.0264,0.0725,0.0448,23718,14278,10758,0.972,0.1501,0.8284,0.9517,0.0554,1.6,21000,23000,13000,0.939999998,0.349999994,20.25,95485.12,87726,4.840000153,364,5177,57000,48200
University of Wisconsin-Milwaukee,3,4,Public,Great Lakes,Large City,0.8608,22,1030,21747,0.717,0.0822,0.0759,0.0596,0.0043,0.0008,0.0314,0.0271,0.1399,21203,8301,8037,0.9599,0.3567,0.4141,0.7007,0.2233,6.1,17459,25107.5,11000,0.959999979,0.449999988,21.37999916,73393.86,66757,6.309999943,549,6040,40900,38100
University of Wisconsin-Oshkosh,3,4,Public,Great Lakes,Small City,0.8134,22,1030,10633,0.8791,0.0198,0.0293,0.0371,0.0089,0.0005,0.018,0.0064,0.1402,16935,7138,6793,0.9882,0.2762,0.5351,0.7522,0.1481,4.5,16852,23868,9489,0.959999979,0.439999998,21.45999908,72876.79,69462,4.150000095,142,2972,39200,37500
University of Wisconsin-Parkside,3,4,Public,Great Lakes,Mid-size Suburb,0.7547,21,990,4354,0.6966,0.0923,0.1171,0.0287,0.0018,0.0023,0.0397,0.0179,0.2352,15218,6228,6277,0.9847,0.4259,0.3073,0.7271,0.2321,12,14054,24250,9500,0.920000017,0.569999993,22.03000069,61183.33,51714.5,6.860000134,129,1211,36900,33600
University of Wisconsin-Platteville,3,4,Public,Great Lakes,Distant Town,0.9647,23,1050,7740,0.9198,0.0137,0.0257,0.0112,0.0018,0.0009,0.0143,0.0096,0.0942,16824,5363,6252,0.9921,0.306,0.5423,0.7533,0.0992,4.1,15750,24000,8250,0.959999979,0.479999989,20.78000069,72370.8,69457,4.800000191,82,1836,43400,40600
University of Wisconsin-River Falls,3,4,Public,Great Lakes,Distant Town,0.8663,22,1030,5506,0.8999,0.0134,0.0234,0.0251,0.0035,0.0009,0.0194,0.0114,0.071,16682,6329,7066,0.9814,0.3224,0.5141,0.7196,0.1126,4.2,18225,24700,9251,0.959999979,0.439999998,20.54999924,77835.08,75121,4.25,82,1784,38400,36000
University of Wisconsin-Stevens Point,3,4,Public,Great Lakes,Distant Town,0.8285,23,1070,9150,0.888,0.0153,0.0291,0.0233,0.0049,0.0008,0.0187,0.0174,0.0567,16427,6380,6317,0.9746,0.337,0.5804,0.789,0.1057,4.1,18700,25000,8750,0.949999988,0.479999989,20.87000084,73219.65,69497,4.53000021,161,2513,37400,35800
University of Wisconsin-Stout,3,4,Public,Great Lakes,Distant Town,0.8927,22,1030,8094,0.8845,0.0124,0.0219,0.0326,0.0033,0.0012,0.0159,0.0226,0.1621,18192,7292,6504,0.9763,0.2958,0.5426,0.7329,0.1633,3.7,18015,24752.5,9500,0.980000019,0.439999998,20.88999939,80177.03,74284.5,4.519999981,145,2396,41600,39800
University of Wisconsin-Superior,3,4,Public,Great Lakes,Mid-size Suburb,0.8927,22,1010,2415,0.8352,0.0203,0.0207,0.0099,0.0265,0.0012,0.0269,0.0559,0.1677,16953,8392,6307,0.9917,0.4184,0.4111,0.6565,0.3011,8.3,14616.5,23500,10000,0.949999988,0.600000024,23.13999939,54689.72,45359,6.920000076,92,900,32000,30900
University of Wisconsin-Whitewater,3,4,Public,Great Lakes,Distant Town,0.8468,22,1030,10438,0.8585,0.0478,0.0414,0.0166,0.0019,0.0005,0.0243,0.0078,0.0616,16107,5681,7073,0.987,0.2963,0.5483,0.7694,0.0885,7.6,18681,25250,9750,0.959999979,0.439999998,20.79000092,76990.02,73639,4.78000021,184,2760,39800,38200
University of Wyoming,3,4,Public,Rocky Mountains,Remote Town,0.9569,25,1123,9969,0.8108,0.0117,0.0605,0.0112,0.0066,0.0029,0.0221,0.0385,0.172,17652,13902,8810,0.9097,0.2428,0.5409,0.7394,0.2393,5.3,12511.5,19000,9500,0.910000026,0.540000021,22.51000023,62802.32,51123,7.96999979,299,2685,46200,42000
